Hs;Tp;Direction;Dragging
1.21;8.15;0;0
1.21;8.15;0;1
1.21;8.15;0;1
1.21;8.15;0;1
1.21;8.15;60;0
1.21;8.15;60;1
1.21;8.15;90;0
1.21;8.15;90;1
1.21;8.15;120;0
1.21;8.15;120;1
1.21;8.15;180;0
1.21;8.15;180;1
1.21;11.67;0;0
1.21;11.67;0;1
1.21;11.67;0;1
1.21;11.67;0;1
1.21;11.67;60;0
1.21;11.67;60;1
1.21;11.67;90;0
1.21;11.67;90;1
1.21;11.67;120;0
1.21;11.67;120;1
1.21;11.67;180;0
1.21;11.67;180;1
1.21;15.18;0;0
1.21;15.18;0;1
1.21;15.18;0;1
1.21;15.18;0;1
1.21;15.18;60;0
1.21;15.18;60;1
1.21;15.18;90;0
1.21;15.18;90;1
1.21;15.18;120;0
1.21;15.18;120;1
1.21;15.18;180;0
1.21;15.18;180;1
1.21;18.69;0;0
1.21;18.69;0;1
1.21;18.69;0;1
1.21;18.69;0;1
1.21;18.69;60;0
1.21;18.69;60;1
1.21;18.69;90;0
1.21;18.69;90;1
1.21;18.69;120;0
1.21;18.69;120;1
1.21;18.69;180;0
1.21;18.69;180;1
3.5;11.67;0;0
3.5;11.67;0;1
3.5;11.67;0;1
3.5;11.67;0;1
3.5;11.67;60;0
3.5;11.67;60;1
3.5;11.67;90;0
3.5;11.67;90;1
3.5;11.67;120;0
3.5;11.67;120;1
3.5;11.67;180;0
3.5;11.67;180;1
3.5;15.18;0;0
3.5;15.18;0;1
3.5;15.18;0;1
3.5;15.18;0;1
3.5;15.18;60;0
3.5;15.18;60;1
3.5;15.18;90;0
3.5;15.18;90;1
3.5;15.18;120;0
3.5;15.18;120;1
3.5;15.18;180;0
3.5;15.18;180;1
3.5;18.69;0;0
3.5;18.69;0;1
3.5;18.69;0;1
3.5;18.69;0;1
3.5;18.69;60;0
3.5;18.69;60;1
3.5;18.69;90;0
3.5;18.69;90;1
3.5;18.69;120;0
3.5;18.69;120;1
3.5;18.69;180;0
3.5;18.69;180;1
5.79;15.18;0;0
5.79;15.18;0;1
5.79;15.18;0;1
5.79;15.18;0;1
5.79;15.18;60;0
5.79;15.18;60;1
5.79;15.18;90;0
5.79;15.18;90;1
5.79;15.18;120;0
5.79;15.18;120;1
5.79;15.18;180;0
5.79;15.18;180;1
5.79;18.69;0;0
5.79;18.69;0;1
5.79;18.69;0;1
5.79;18.69;0;1
5.79;18.69;60;0
5.79;18.69;60;1
5.79;18.69;90;0
5.79;18.69;90;1
5.79;18.69;120;0
5.79;18.69;120;1
5.79;18.69;180;0
5.79;18.69;180;1
8.1;18.69;0;0
8.1;18.69;0;1
8.1;18.69;0;1
8.1;18.69;0;1
8.1;18.69;60;0
8.1;18.69;60;1
8.1;18.69;90;0
8.1;18.69;90;1
8.1;18.69;120;0
8.1;18.69;120;1
8.1;18.69;180;0
8.1;18.69;180;1
