# SeaFEM body kinematics file v.1.0
DataSets	Body data Auto5
SubSets	Movements	Velocities	Accelerations
numResults	18
time[s]	Surge	Sway	Heave	Roll	Pitch	Yaw	Surge_Vel	Sway_Vel	Heave_Vel	Roll_Vel	Pitch_Vel	Yaw_Vel	Surge_Accel	Sway_Accel	Heave_Accel	Roll_Accel	Pitch_Accel	Yaw_Accel
180	-5.79956	5.27224	-0.515581	-0.00285998	-0.0888264	0.000789485	-0.00436977	0.307694	-0.335921	-0.000110751	-0.000322514	-0.00117867	0.0211212	-0.186915	-0.0933986	-0.00038348	-8.10785e-05	6.0079e-05
180.1	-5.7999	5.30206	-0.549625	-0.00287298	-0.088859	0.000672119	-0.00229739	0.288564	-0.344966	-0.00014932	-0.000329695	-0.00116869	0.0204587	-0.194227	-0.0884928	-0.000387164	-6.56394e-05	0.000126195
180.2	-5.80003	5.32992	-0.584549	-0.00288986	-0.0888923	0.000556081	-0.000296973	0.268712	-0.353511	-0.000188186	-0.0003353	-0.00115209	0.0197012	-0.201378	-0.083422	-0.000389657	-4.96465e-05	0.000192538
180.3	-5.79996	5.35576	-0.620301	-0.00291063	-0.088926	0.000442035	0.00162236	0.248155	-0.361539	-0.000227227	-0.000339278	-0.00112886	0.0188547	-0.208368	-0.0781896	-0.000390913	-3.3203e-05	0.000258761
180.4	-5.79971	5.37952	-0.65683	-0.00293531	-0.08896	0.000330642	0.00345211	0.226909	-0.369035	-0.000266315	-0.000341591	-0.00109904	0.017926	-0.215192	-0.0728022	-0.000390853	-1.64115e-05	0.000324515
180.5	-5.79928	5.40111	-0.694081	-0.00296389	-0.0889942	0.000222556	0.00518448	0.204991	-0.375983	-0.000305315	-0.00034221	-0.00106269	0.0169223	-0.221844	-0.0672662	-0.000389426	6.10418e-07	0.000389451
180.6	-5.79868	5.42048	-0.731998	-0.00299636	-0.0890284	0.000118427	0.00681248	0.182418	-0.382369	-0.000344087	-0.000341121	-0.00101992	0.0158518	-0.228312	-0.0615885	-0.000386582	1.77497e-05	0.000453224
180.7	-5.79792	5.43756	-0.770526	-0.00303269	-0.0890624	1.88892e-05	0.00832991	0.159211	-0.388179	-0.000382485	-0.000338317	-0.000970864	0.0147226	-0.234582	-0.0557777	-0.000382248	3.49033e-05	0.000515493
180.8	-5.79702	5.45229	-0.809604	-0.00307283	-0.089096	-7.5437e-05	0.00973145	0.135389	-0.393401	-0.00042036	-0.000333804	-0.00091569	0.0135439	-0.240639	-0.0498421	-0.000376414	5.19407e-05	0.000575918
180.9	-5.79598	5.46461	-0.849175	-0.00311672	-0.089129	-0.00016395	0.0110127	0.110976	-0.398022	-0.000457558	-0.000327601	-0.000854603	0.0123248	-0.246461	-0.0437915	-0.000369026	6.87573e-05	0.000634167
181	-5.79482	5.47446	-0.889178	-0.0031643	-0.0891614	-0.000246071	0.0121702	0.0859959	-0.402032	-0.000493923	-0.000319737	-0.000787841	0.011075	-0.252025	-0.0376363	-0.00036007	8.52337e-05	0.000689911
