# SeaFEM body kinematics file v.1.0
DataSets	Body data Auto5
SubSets	Movements	Velocities	Accelerations
numResults	18
time[s]	Surge	Sway	Heave	Roll	Pitch	Yaw	Surge_Vel	Sway_Vel	Heave_Vel	Roll_Vel	Pitch_Vel	Yaw_Vel	Surge_Accel	Sway_Accel	Heave_Accel	Roll_Accel	Pitch_Accel	Yaw_Accel
180	2.68833	4.06822	-0.171192	-0.00405905	-0.0895072	0.00103088	0.801112	0.00338686	0.396037	7.47038e-05	-0.000568163	0.000288433	0.0918214	0.0255819	-0.0397762	-2.82236e-05	0.000203554	6.84063e-05
180.1	2.76888	4.06868	-0.131803	-0.00405172	-0.0895629	0.00106005	0.809777	0.00589654	0.391747	7.17989e-05	-0.000546672	0.00029501	0.0831926	0.0247733	-0.0449781	-2.95988e-05	0.000222484	6.40087e-05
180.2	2.85024	4.06939	-0.0928682	-0.00404469	-0.0896164	0.00108986	0.817561	0.0083224	0.386942	6.87614e-05	-0.000523345	0.000301142	0.0742838	0.0239154	-0.0501023	-3.08928e-05	0.000240448	5.95429e-05
180.3	2.93234	4.07034	-0.0544398	-0.00403797	-0.0896675	0.00112025	0.82444	0.0106597	0.381629	6.55994e-05	-0.000498284	0.000306824	0.0651123	0.0230107	-0.0551409	-3.2106e-05	0.000257383	5.49982e-05
180.4	3.01508	4.07152	-0.0165675	-0.00403158	-0.089716	0.0011512	0.830386	0.0129038	0.375819	6.23208e-05	-0.000471598	0.000312046	0.055699	0.0220617	-0.060085	-3.32385e-05	0.000273189	5.03645e-05
180.5	3.09837	4.07292	0.0206993	-0.00402552	-0.0897618	0.00118264	0.835378	0.0150505	0.36952	5.89338e-05	-0.000443403	0.000316798	0.0460656	0.0210711	-0.0649268	-3.42907e-05	0.000287786	4.56317e-05
180.6	3.18211	4.07453	0.0573123	-0.0040198	-0.0898046	0.00121453	0.839395	0.0170958	0.362743	5.54464e-05	-0.000413826	0.000321071	0.0362344	0.0200417	-0.0696587	-3.52631e-05	0.000301093	4.079e-05
180.7	3.2662	4.07633	0.0932244	-0.00401443	-0.0898445	0.00124683	0.842418	0.0190361	0.3555	5.18665e-05	-0.000383	0.000324852	0.0262289	0.0189762	-0.0742738	-3.61564e-05	0.000313039	3.58301e-05
180.8	3.35054	4.07833	0.128389	-0.00400943	-0.0898812	0.00127948	0.844431	0.0208678	0.347803	4.82019e-05	-0.000351065	0.00032813	0.0160733	0.0178777	-0.0787654	-3.69715e-05	0.000323558	3.07435e-05
180.9	3.43504	4.0805	0.162763	-0.00400479	-0.0899146	0.00131243	0.845422	0.0225879	0.339665	4.44605e-05	-0.000318167	0.000330891	0.00579264	0.016749	-0.0831274	-3.77093e-05	0.00033259	2.55225e-05
181	3.51957	4.08284	0.196301	-0.00400054	-0.0899448	0.00134563	0.845378	0.0241934	0.331099	4.06499e-05	-0.000284459	0.000333122	-0.00458757	0.0155931	-0.0873543	-3.8371e-05	0.000340082	2.01602e-05
181.1	3.60406	4.08533	0.228962	-0.00399667	-0.0899715	0.00137903	0.844292	0.0256819	0.322118	3.67776e-05	-0.000250096	0.000334807	-0.0150412	0.0144131	-0.0914411	-3.89577e-05	0.00034599	1.46513e-05
181.2	3.68838	4.08797	0.260704	-0.00399319	-0.0899948	0.00141256	0.842158	0.0270512	0.312737	3.2851e-05	-0.00021524	0.000335933	-0.0255416	0.0132121	-0.0953834	-3.94706e-05	0.000350276	8.99128e-06
181.3	3.77244	4.09074	0.29149	-0.0039901	-0.0900145	0.00144618	0.838973	0.0282993	0.302971	2.88776e-05	-0.000180054	0.000336483	-0.0360619	0.0119933	-0.0991771	-3.99111e-05	0.00035291	3.1774e-06
181.4	3.85612	4.09362	0.32128	-0.00398741	-0.0900308	0.00147983	0.834736	0.0294246	0.292835	2.48643e-05	-0.000144706	0.000336443	-0.046575	0.0107597	-0.102819	-4.02806e-05	0.000353869	-2.79175e-06
181.5	3.93933	4.09662	0.350039	-0.00398513	-0.0900435	0.00151344	0.829449	0.0304258	0.282344	2.08182e-05	-0.000109362	0.000335796	-0.0570537	0.00951461	-0.106306	-4.05803e-05	0.00035314	-8.916e-06
181.6	4.02196	4.0997	0.377731	-0.00398325	-0.0900526	0.00154696	0.823119	0.0313021	0.271514	1.67463e-05	-7.41939e-05	0.000334528	-0.0674706	0.00826125	-0.109637	-4.08116e-05	0.000350717	-1.51934e-05
181.7	4.1039	4.10287	0.404325	-0.00398178	-0.0900583	0.00158031	0.815752	0.0320527	0.26036	1.26553e-05	-3.9369e-05	0.000332623	-0.0777987	0.00700282	-0.112809	-4.09759e-05	0.000346603	-2.16205e-05
181.8	4.18506	4.10611	0.429788	-0.00398072	-0.0900605	0.00161345	0.80736	0.0326774	0.248898	8.55179e-06	-5.05633e-06	0.000330067	-0.0880111	0.00574259	-0.115822	-4.10745e-05	0.000340809	-2.81918e-05
181.9	4.26532	4.1094	0.45409	-0.00398007	-0.0900594	0.00164629	0.797954	0.0331761	0.237145	4.44229e-06	2.85773e-05	0.000326845	-0.0980812	0.00448379	-0.118675	-4.11087e-05	0.000333354	-3.49001e-05
182	4.3446	4.11273	0.477203	-0.00397983	-0.0900549	0.00167878	0.787552	0.0335492	0.225116	3.33169e-07	6.13675e-05	0.000322945	-0.107983	0.00322967	-0.121367	-4.10796e-05	0.000324267	-4.17366e-05
182.1	4.42278	4.1161	0.4991	-0.00398	-0.0900471	0.00171085	0.776171	0.0337974	0.212827	-3.76933e-06	9.31531e-05	0.000318354	-0.11769	0.00198344	-0.123901	-4.09885e-05	0.000313582	-4.86905e-05
182.2	4.49978	4.11949	0.519756	-0.00398058	-0.0900363	0.00174242	0.763833	0.0339217	0.200294	-7.85905e-06	0.000123777	0.000313061	-0.127179	0.000748323	-0.126276	-4.08365e-05	0.000301344	-5.57492e-05
182.3	4.5755	4.12288	0.539147	-0.00398157	-0.0900225	0.00177342	0.750561	0.0339233	0.187533	-1.193e-05	0.000153087	0.000307057	-0.136424	-0.000472507	-0.128495	-4.06245e-05	0.000287605	-6.28983e-05
182.4	4.64985	4.12627	0.557252	-0.00398297	-0.0900058	0.00180379	0.736379	0.0338038	0.17456	-1.59762e-05	0.000180937	0.000300334	-0.145403	-0.0016759	-0.13056	-4.03535e-05	0.000272424	-7.0122e-05
