# SeaFEM body kinematics file v.1.0
DataSets	Body data Auto5
SubSets	Movements	Velocities	Accelerations
numResults	18
time[s]	Surge	Sway	Heave	Roll	Pitch	Yaw	Surge_Vel	Sway_Vel	Heave_Vel	Roll_Vel	Pitch_Vel	Yaw_Vel	Surge_Accel	Sway_Accel	Heave_Accel	Roll_Accel	Pitch_Accel	Yaw_Accel
180	-6.3516	3.881	-0.165655	-0.004326	-0.0889728	0.00209245	-0.809068	0.0501054	0.382744	-7.5226e-05	0.00050399	-0.000285108	-0.0802467	-0.0268952	-0.0458643	2.81595e-05	-5.08745e-05	-6.94256e-05
180.1	-6.43287	3.88588	-0.127624	-0.00433338	-0.0889227	0.00206361	-0.816478	0.0474654	0.377883	-7.23151e-05	0.000497564	-0.000291745	-0.0700046	-0.026071	-0.0504506	2.97424e-05	-7.3196e-05	-6.43303e-05
180.2	-6.51484	3.8905	-0.0901012	-0.00434046	-0.0888734	0.00203413	-0.822851	0.0449109	0.372569	-6.92484e-05	0.000488917	-0.000297868	-0.0595318	-0.0251931	-0.0549306	3.12832e-05	-9.53059e-05	-5.9178e-05
180.3	-6.59739	3.89487	-0.0531322	-0.00434722	-0.088825	0.00200406	-0.828163	0.0424473	0.366814	-6.60303e-05	0.000478078	-0.000303473	-0.0488535	-0.0242642	-0.0592993	3.27803e-05	-0.000117118	-5.39648e-05
180.4	-6.68042	3.89899	-0.0167602	-0.00435366	-0.0887779	0.00197346	-0.832397	0.0400796	0.360628	-6.26653e-05	0.000465082	-0.000308553	-0.0379987	-0.023287	-0.0635514	3.42289e-05	-0.000138514	-4.86873e-05
180.5	-6.76381	3.90289	0.0189724	-0.00435975	-0.0887321	0.00194238	-0.835537	0.0378122	0.354025	-5.91586e-05	0.000449979	-0.000313101	-0.0269966	-0.0222646	-0.0676823	3.56253e-05	-0.000159386	-4.33418e-05
180.6	-6.84747	3.90656	0.0540244	-0.00436548	-0.088688	0.00191087	-0.837569	0.0356496	0.347017	-5.55157e-05	0.000432826	-0.00031711	-0.0158768	-0.0211999	-0.071688	3.69653e-05	-0.000179628	-3.79241e-05
180.7	-6.93127	3.91002	0.0883559	-0.00437085	-0.0886457	0.00187898	-0.838485	0.0335959	0.339615	-5.17424e-05	0.000413692	-0.000320573	-0.00466988	-0.020096	-0.0755651	3.82447e-05	-0.000199134	-3.24301e-05
180.8	-7.01511	3.91329	0.121928	-0.00437583	-0.0886054	0.00184678	-0.838276	0.0316547	0.331834	-4.78451e-05	0.000392659	-0.000323482	0.00659355	-0.0189562	-0.0793106	3.94595e-05	-0.000217803	-2.68557e-05
180.9	-7.09887	3.91636	0.154704	-0.00438041	-0.0885672	0.00181431	-0.836939	0.0298294	0.323686	-4.38304e-05	0.000369815	-0.000325828	0.0178824	-0.0177836	-0.0829222	4.06054e-05	-0.000235538	-2.11966e-05
181	-7.18244	3.91926	0.186648	-0.00438459	-0.0885315	0.00178164	-0.834474	0.0281232	0.315186	-3.97054e-05	0.000345258	-0.000327603	0.0291654	-0.0165815	-0.086398	4.16783e-05	-0.000252244	-1.54491e-05
181.1	-7.26571	3.92199	0.217724	-0.00438835	-0.0884983	0.00174882	-0.830883	0.0265387	0.306346	-3.54779e-05	0.000319099	-0.000328797	0.0404114	-0.0153534	-0.0897368	4.2674e-05	-0.000267832	-9.60937e-06
181.2	-7.34856	3.92457	0.2479	-0.00439168	-0.0884677	0.00171591	-0.826171	0.0250784	0.29718	-3.11556e-05	0.000291452	-0.000329402	0.0515892	-0.0141026	-0.0929378	4.35883e-05	-0.000282217	-3.67431e-06
181.3	-7.43089	3.92701	0.277144	-0.00439457	-0.08844	0.00168297	-0.820347	0.0237443	0.287702	-2.6747e-05	0.000262444	-0.000329407	0.0626678	-0.0128326	-0.0960009	4.44172e-05	-0.000295322	2.35885e-06
